Code,Support Item Name,Registration Group Name,Support Category Number,Support Category Name,Unit,Quote,Start date,End Date,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Remote,Very Remote,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type,Detailed Item Description,Simplified Description
01_017_0107_1_1,On-Call Overnight Monitoring-Off Site or Onsite (Includes 1 hour of assistance),Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),E,Yes,20230701,99991231,,,,,,,,,,,,,,,,Quotable Supports,"Provides for overnight on-call assistance (either onsite or off-site) with, or
supervision of, personal tasks of daily living. It applies to any day of the week and on public
holidays. This support item is for an eight-hour period and includes up to one hour of active support
provided to the participant for the duration of the period.","Overnight on-call assistance with, or supervision of, personal tasks of daily living."
01_019_0120_1_1,House or Yard Maintenance,Household Tasks,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$53.09,$53.09,$53.09,$53.09,$53.09,$53.09,$53.09,$53.09,$74.33,$79.64,Y,Y,Y,N,N,Price Limited Supports,Support the participant with basic yard and/or garden tasks if they are unable to perform maintenance tasks themselves.,Performing essential house and/or yard activities that the participant is not able to undertake.
01_020_0120_1_1,House Cleaning And Other Household Activities,Household Tasks,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$54.07,$54.07,$54.07,$54.07,$54.07,$54.07,$54.07,$54.07,$75.70,$81.11,Y,Y,Y,N,N,Price Limited Supports,"Support the participant with general cleaning and maintenance activities that they are unable to do so themselves without assistance. These supports may consist of de-cluttering, house cleaning, organising, and other basic domestic duties.",Performing essential house cleaning activities that the participant is not able to undertake.
01_021_0120_1_1,Linen Service,Household Tasks,1,Assistance with Daily Life (Includes SIL),E,Yes,20230701,99991231,,,,,,,,,,,,,,,,Quotable Supports,"Service consisting of the delivery, cleaning, and ironing of linen items if the participant is unable to perform this themselves. To obtain this support, a quote from the selected service provider should be sent to the NDIA for approval.",Provision of clean linen to a participant unable to do their own laundry without assistance.
01_023_0120_1_1,Assistance with the cost of the preparation and delivery of meals,Household Tasks,1,Assistance with Daily Life (Includes SIL),E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,,,,,Unit Price = $1,,
01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,Yes,20230701,99991231,,,,,,,,,,,,,,,,Quotable Supports,"This line item can be utilised when receiving supports in a host family living arrangement where the host family shares their home and lives and providing an agreed level of support. The timeframe a participant would spend with the host family would depend on the level of funding approved. As this funding is a quote required support, a quote should be sent to the NDIA for approval.",Agreement for a participant with high support needs to stay with a host family. The host family will have minimum qualifications & provide support in the home for the agreed time. The quote will reflect the hours of assistance required & length of stay.
01_027_0115_1_1,Assistance In A Shared Living Arrangement,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),E,Yes,20230701,99991231,,,,,,,,,,,,,,,,Quotable Supports,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance in a shared living arrangement, SIL, or other living arrangements. This line item does not cover rent, board lodging, daily living expenses, and daily bills.","Daily living support provided in a shared living arrangement. This rate is paid by the hour for one-to-one assistance, divided by the number of people supported"
01_045_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Weekday,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,$663.07,$663.07,$663.07,$663.07,$663.07,$663.07,$663.07,$663.07,$928.30,$994.61,N,N,Y,N,N,Price Limited Supports,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period.  This line item is a weekday price, with a ratio of 4 participants per support worker. Short Term Accommodation has a maximum period of 14 days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),E,Yes,20230701,99991231,,,,,,,,,,,,,,,,Quotable Supports,"This support code refers to when participants live in their own environment, away from informal supports. Use of this support is subject to quotation and should only be used if it is a stated item in the NDIS plan.",These support items provide for other forms of assistance with daily life tasks in a group or shared living arrangement.
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),E,No,20230701,99991231,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$916.58,$982.05,N,N,N,N,N,Price Limited Supports,,
01_049_0107_1_1,Establishment Fee For Personal Care/Participation,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),E,No,20230701,99991231,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$916.58,$982.05,N,N,N,N,N,Price Limited Supports,,
01_049_0115_1_1,Cross Billing Payments For Residential Aged Care Subsidies And Supplements,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),WK,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
01_050_0115_1_1,Assistance With Daily Life Tasks Provided In Residential Aged Care Facility,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),E,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,"This support code relates to a participant residing in a residential aged care facility and has their reasonable and necessary needs met through a combination of supports provided by the facility as required and supports provided by the NDIS according to their goals and individual circumstances. These support items are for the supports provided by the residential aged care facility. This support item is subject to quotation, and should only be used if it is a stated item in a plan.",Assistance with daily life tasks provided in residential aged care facility
01_051_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Saturday,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,$804.39,$804.39,$804.39,$804.39,$804.39,$804.39,$804.39,$804.39,"$1,126.15","$1,206.59",N,N,Y,N,N,Price Limited Supports,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 4 participants per support worker, and can be claimed on Saturdays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_052_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Sunday,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,$977.49,$977.49,$977.49,$977.49,$977.49,$977.49,$977.49,$977.49,"$1,368.49","$1,466.24",N,N,Y,N,N,Price Limited Supports,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 4 participants per support worker, and can be claimed on Sundays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_053_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Public Holiday,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$1,150.59","$1,150.59","$1,150.59","$1,150.59","$1,150.59","$1,150.59","$1,150.59","$1,150.59","$1,610.83","$1,725.89",N,N,Y,N,N,Price Limited Supports,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period.  This line item is for a ratio of 4 participants per support worker, and can be claimed on Public Holidays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_054_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Weekday,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$1,119.89","$1,119.89","$1,119.89","$1,119.89","$1,119.89","$1,119.89","$1,119.89","$1,119.89","$1,567.85","$1,679.84",N,N,Y,N,N,Price Limited Supports,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 2 participants per support worker, and can be claimed on Weekdays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_055_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Saturday,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$1,402.53","$1,402.53","$1,402.53","$1,402.53","$1,402.53","$1,402.53","$1,402.53","$1,402.53","$1,963.54","$2,103.80",N,N,Y,N,N,Price Limited Supports,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 2 participants per support worker, and can be claimed on Saturdays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_056_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Sunday,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$1,748.73","$1,748.73","$1,748.73","$1,748.73","$1,748.73","$1,748.73","$1,748.73","$1,748.73","$2,448.22","$2,623.10",N,N,Y,N,N,Price Limited Supports,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 4 participants per support worker, and can be claimed on Sundays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_057_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Public Holiday,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$2,094.93","$2,094.93","$2,094.93","$2,094.93","$2,094.93","$2,094.93","$2,094.93","$2,094.93","$2,932.90","$3,142.40",N,N,Y,N,N,Price Limited Supports,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 2 participants per support worker, and can be claimed on Public Holidays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_058_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Weekday,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$2,033.53","$2,033.53","$2,033.53","$2,033.53","$2,033.53","$2,033.53","$2,033.53","$2,033.53","$2,846.94","$3,050.30",N,N,Y,N,N,Price Limited Supports,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 1 participant per support worker, and can be claimed on Weekdays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_059_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Saturday,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$2,598.81","$2,598.81","$2,598.81","$2,598.81","$2,598.81","$2,598.81","$2,598.81","$2,598.81","$3,638.33","$3,898.22",N,N,Y,N,N,Price Limited Supports,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 1 participant per support worker, and can be claimed on Saturdays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_060_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Sunday,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$3,291.21","$3,291.21","$3,291.21","$3,291.21","$3,291.21","$3,291.21","$3,291.21","$3,291.21","$4,607.69","$4,936.82",N,N,Y,N,N,Price Limited Supports,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 1 participant per support worker, and can be claimed on Sundays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_061_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Public Holiday,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$3,983.61","$3,983.61","$3,983.61","$3,983.61","$3,983.61","$3,983.61","$3,983.61","$3,983.61","$5,577.05","$5,975.42",N,N,Y,N,N,Price Limited Supports,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 1 participant per support worker, and can be claimed on Public Holidays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_062_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Weekday,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,$815.34,$815.34,$815.34,$815.34,$815.34,$815.34,$815.34,$815.34,"$1,141.48","$1,223.01",N,N,Y,N,N,Price Limited Supports,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 3 participants per support worker, and can be claimed on Weekdays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_063_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Saturday,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$1,003.77","$1,003.77","$1,003.77","$1,003.77","$1,003.77","$1,003.77","$1,003.77","$1,003.77","$1,405.28","$1,505.66",N,N,Y,N,N,Price Limited Supports,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 3 participants per support worker, and can be claimed on Saturdays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_064_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Sunday,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$1,234.57","$1,234.57","$1,234.57","$1,234.57","$1,234.57","$1,234.57","$1,234.57","$1,234.57","$1,728.40","$1,851.86",N,N,Y,N,N,Price Limited Supports,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 3 participants per support worker, and can be claimed on Sundays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
