Code,Plan Partners Initial Description,Updated Description
01_013_0107_1_1_T,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showering, etc.  This line item can only be claimed on Saturdays, and by a registered TTP provider.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider"
01_014_0107_1_1,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showering, etc. This line item can only be claimed on Sundays.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible."
01_014_0107_1_1_T,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showering, etc. This line item can only be claimed on Sundays, and by a registered TTP provider.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider"
01_015_0107_1_1,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc. This support would be provided between the hours of 8:00pm-12:00am","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible."
01_015_0107_1_1_T,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc. This support would be provided between the hours of 8:00pm-12:00am, and by a TTP registered provider.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider"
01_016_0104_1_1,Support Workers with a specialised skill set relevant to the disability to provide in-home care when informal supports are unable to do so themselves.,Specialist assistance in the home required due to additional requirements of a child’s disability; may be provided to strengthen the sustainability of informal supports.
01_017_0107_1_1,"Provides for overnight on-call assistance (either onsite or off-site) with, or
supervision of, personal tasks of daily living. It applies to any day of the week and on public
holidays. This support item is for an eight-hour period and includes up to one hour of active support
provided to the participant for the duration of the period.","Overnight on-call assistance with, or supervision of, personal tasks of daily living."
01_019_0120_1_1,Support the participant with basic yard and/or garden tasks if they are unable to perform maintenance tasks themselves.,Performing essential house and/or yard activities that the participant is not able to undertake.
01_020_0120_1_1,"Support the participant with general cleaning and maintenance activities that they are unable to do so themselves without assistance. These supports may consist of de-cluttering, house cleaning, organising, and other basic domestic duties.",Performing essential house cleaning activities that the participant is not able to undertake.
01_021_0120_1_1,"Service consisting of the delivery, cleaning, and ironing of linen items if the participant is unable to perform this themselves. To obtain this support, a quote from the selected service provider should be sent to the NDIA for approval.",Provision of clean linen to a participant unable to do their own laundry without assistance.
01_026_0115_1_1,"This line item can be utilised when receiving supports in a host family living arrangement where the host family shares their home and lives and providing an agreed level of support. The timeframe a participant would spend with the host family would depend on the level of funding approved. As this funding is a quote required support, a quote should be sent to the NDIA for approval.",Agreement for a participant with high support needs to stay with a host family. The host family will have minimum qualifications & provide support in the home for the agreed time. The quote will reflect the hours of assistance required & length of stay.
01_027_0115_1_1,"Support the participant with everyday domestic needs/tasks that they may not be able to do so themselves without assistance in a shared living arrangement, SIL, or other living arrangements. This line item does not cover rent, board lodging, daily living expenses, and daily bills.","Daily living support provided in a shared living arrangement. This rate is paid by the hour for one-to-one assistance, divided by the number of people supported"
01_045_0115_1_1,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period.  This line item is a weekday price, with a ratio of 4 participants per support worker. Short Term Accommodation has a maximum period of 14 days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_046_0115_1_1,"This support code refers to when participants live in their own environment, away from informal supports. Use of this support is subject to quotation and should only be used if it is a stated item in the NDIS plan.",These support items provide for other forms of assistance with daily life tasks in a group or shared living arrangement.
01_050_0115_1_1,"This support code relates to a participant residing in a residential aged care facility and has their reasonable and necessary needs met through a combination of supports provided by the facility as required and supports provided by the NDIS according to their goals and individual circumstances. These support items are for the supports provided by the residential aged care facility. This support item is subject to quotation, and should only be used if it is a stated item in a plan.",Assistance with daily life tasks provided in residential aged care facility
01_051_0115_1_1,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 4 participants per support worker, and can be claimed on Saturdays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_052_0115_1_1,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 4 participants per support worker, and can be claimed on Sundays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_053_0115_1_1,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period.  This line item is for a ratio of 4 participants per support worker, and can be claimed on Public Holidays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_054_0115_1_1,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 2 participants per support worker, and can be claimed on Weekdays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_055_0115_1_1,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 2 participants per support worker, and can be claimed on Saturdays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_056_0115_1_1,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 4 participants per support worker, and can be claimed on Sundays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_057_0115_1_1,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 2 participants per support worker, and can be claimed on Public Holidays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_058_0115_1_1,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 1 participant per support worker, and can be claimed on Weekdays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_059_0115_1_1,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 1 participant per support worker, and can be claimed on Saturdays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_060_0115_1_1,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 1 participant per support worker, and can be claimed on Sundays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_061_0115_1_1,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 1 participant per support worker, and can be claimed on Public Holidays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_062_0115_1_1,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 3 participants per support worker, and can be claimed on Weekdays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_063_0115_1_1,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 3 participants per support worker, and can be claimed on Saturdays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_064_0115_1_1,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 3 participants per support worker, and can be claimed on Sundays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_065_0115_1_1,"Short Term Accommodation provides temporary accommodation for participants who have specific needs. The cost of this service covers everything you'd need during your stay, including the accommodation itself, the cost of support workers who assist you, meals, and any other services provided by the accommodation facility, all for a 24-hour period. This line item is for a ratio of 3 participants per support worker, and can be claimed on Public Holidays. Short Term Accommodation has a maximum period of 14 consecutive days.","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply."
01_066_0115_1_1,New description coming soon,New description coming soon
01_082_0115_1_1,"
Medium Term Accommodation (MTA) is a support service that offers temporary housing for participants who are waiting for their long-term housing arrangement to be confirmed. This line item solely covers the cost of accommodation for periods up to 90 days. Support workers or additional support costs are not covered by this line item code and would need to be claimed independently. Other associated costs such as meals or activities would need to be funded by the participant instead of their NDIS plan.","This support item covers the accommodation costs of Medium Term Accommodation (MTA). The support component of the care to claimed separately. This support item recognises that there may be cases where a participant will require longer term transitional accommodation before moving into a more permanent home or arrangement (for example, after hospital discharge). Typically, MTA would be used for periods up to 90 days. Participants who stay in MTA are responsible for meeting their own food and everyday living costs from their own income rather than NDIS plan."
01_134_0117_8_1,Supports the participant to strengthen their self-management skills relating to their NDIS funding and supports.,Self-Management Capacity Building
01_200_0115_1_1,This line item is to be used for additional support provided alongside the normal STA support where they require 1:1 support in addition to their normal STA support. It only covers the cost of the support worker and not accommodation. An example of when this might be used is if respite takes place in the participant's own home. This line item would be claimed between the hours of 6:00am-8:00pm Monday- Friday.,"Additional support provided at the same time as a Short Term Accommodation (STA) support, where the participant requires 1:1 assistance with self-care activities in addition to the STA support. For example, where the STA support is at the 1:1 rate and the participant requires more than one support worker for a period of time, or where the STA is not at the 1:1 rate and the participant requires 1:1 support for a period of time."
01_201_0115_1_1,This line item is to be used for additional support provided at the same time as the normal STA support where they require 1:1 support in addition to their normal STA support. It only covers the cost of the support worker and not accommodation. An example of when this might be used is if respite takes place in the participant's own home. This line item would be claimed between the hours of 8:00pm-12am.,"Additional support provided at the same time as a Short Term Accommodation (STA) support, where the participant requires 1:1 assistance with self-care activities in addition to the STA support. For example, where the STA support is at the 1:1 rate and the participant requires more than one support worker for a period of time, or where the STA is not at the 1:1 rate and the participant requires 1:1 support for a period of time."
01_202_0115_1_1,This line item is to be used for additional support provided at the same time as the normal STA support where they require 1:1 support in addition to their normal STA support. It only covers the cost of the support worker and not accommodation. An example of when this might be used is if respite takes place in the participant's own home. This line item would be claimed on Saturdays.,"Additional support provided at the same time as a Short Term Accommodation (STA) support, where the participant requires 1:1 assistance with self-care activities in addition to the STA support. For example, where the STA support is at the 1:1 rate and the participant requires more than one support worker for a period of time, or where the STA is not at the 1:1 rate and the participant requires 1:1 support for a period of time."
01_203_0115_1_1,This line item is to be used for additional support provided at the same time as the normal STA support where they require 1:1 support in addition to their normal STA support. It only covers the cost of the support worker and not accommodation. An example of when this might be used is if respite takes place in the participant's own home. This line item would be claimed on Sundays.,"Additional support provided at the same time as a Short Term Accommodation (STA) support, where the participant requires 1:1 assistance with self-care activities in addition to the STA support. For example, where the STA support is at the 1:1 rate and the participant requires more than one support worker for a period of time, or where the STA is not at the 1:1 rate and the participant requires 1:1 support for a period of time."
01_204_0115_1_1,This line item is to be used for additional support provided at the same time as the normal STA support where they require 1:1 support in addition to their normal STA support. It only covers the cost of the support worker and not accommodation. An example of when this might be used is if respite takes place in the participant's own home. This line item would be claimed on Public Holidays.,"Additional support provided at the same time as a Short Term Accommodation (STA) support, where the participant requires 1:1 assistance with self-care activities in addition to the STA support. For example, where the STA support is at the 1:1 rate and the participant requires more than one support worker for a period of time, or where the STA is not at the 1:1 rate and the participant requires 1:1 support for a period of time."
01_205_0115_1_1,This line item is to be used for additional support provided at the same time as the normal STA support where they require 1:1 support in addition to their normal STA support. It only covers the cost of the support worker and not accommodation. An example of when this might be used is if respite takes place in the participant's own home. This service must involve the provider spending these hours awake and providing active care throughout the night.,"Additional support provided at the same time as a Short Term Accommodation (STA) support, where the participant requires 1:1 assistance with self-care activities in addition to the STA support. For example, where the STA support is at the 1:1 rate and the participant requires more than one support worker for a period of time, or where the STA is not at the 1:1 rate and the participant requires 1:1 support for a period of time."
01_400_0104_1_1,"Assist the participant with everyday needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc.  This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible in circumstances where the support delivered is high intensity and a more skilled or experienced support worker is required."
01_400_0104_1_1_T,"Assist the participant with everyday needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc.  This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award. This line item can only be claimed by a TTP registered provider.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible in circumstances where the support delivered is high intensity and a more skilled or experienced support worker is required. Support delivered by a TTP provider."
01_401_0104_1_1,"Assist the participant with everyday needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc.  This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award. This line item would be claimed between the hours of 8:00pm-12am.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible in circumstances where the support delivered is high intensity and a more skilled or experienced support worker is required."
01_401_0104_1_1_T,"Assist the participant with everyday needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc.  This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award. This line item would be claimed between the hours of 8:00pm-12am, and by a TTP registered provider.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible in circumstances where the support delivered is high intensity and a more skilled or experienced support worker is required. Support delivered by a TTP provider."
01_402_0104_1_1,"Assist the participant with everyday needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc.  This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award. This line item can only be claimed on a Saturday.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible in circumstances where the support delivered is high intensity and a more skilled or experienced support worker is required."
01_402_0104_1_1_T,"Assist the participant with everyday needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc.  This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award. This line item can only be claimed on a Saturday and by a TTP registered provider.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible in circumstances where the support delivered is high intensity and a more skilled or experienced support worker is required. Support delivered by a TTP provider."
01_403_0104_1_1,"Assist the participant with everyday needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc.  This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award. This line item can only be claimed on a Sunday.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible in circumstances where the support delivered is high intensity and a more skilled or experienced support worker is required."
01_403_0104_1_1_T,"Assist the participant with everyday needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc.  This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award. This line item can only be claimed on a Sunday and by a TTP registered provider.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible in circumstances where the support delivered is high intensity and a more skilled or experienced support worker is required. Support delivered by a TTP provider."
01_404_0104_1_1,"Assist the participant with everyday needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc.  This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award. This line item can only be claimed on a Public Holiday.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible in circumstances where the support delivered is high intensity and a more skilled or experienced support worker is required."
01_405_0104_1_1,"Assist the participant with everyday needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc.  This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award. This service must involve the provider spending these hours awake and providing active care through the night.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible in circumstances where the support delivered is high intensity and a more skilled or experienced support worker is required."
01_405_0104_1_1_T,"Assist the participant with everyday needs/tasks that they may not be able to do so themselves without assistance. These supports may consist of eating, grooming, showing, etc.  This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. Level 2 Worker Support items should be used if the worker who delivers the support is someone who has the skills and experience that would mean that they would be classified as a Social and Community Service Employee level 2 (at the maximum pay points) or as a Social and Community Service Employee level 3 (at the minimum pay point) if they were employed under the SCHADS Award. This service must involve the provider spending these hours awake and providing active care through the night, and by a TTP registered provider.","Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible in circumstances where the support delivered is high intensity and a more skilled or experienced support worker is required. Support delivered by a TTP provider."
01_600_0114_1_1,"Funding to cover the cost of health supports from a provider who is qualified as an Enrolled Nurse. (An enrolled nurse is a professional who has completed, at minimum, their diploma qualification.) These services are delivered Monday to Friday and between the hours of 07:30 am and 12:00 pm",Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system
01_601_0114_1_1,"Funding to cover the cost of health supports from a provider who is qualified as an Enrolled Nurse (An enrolled nurse is a professional who has completed, at minimum, their diploma qualification) These services are delivered Monday to Friday and between the hours of 8pm and Midnight (12am)",Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system
01_602_0114_1_1,"Funding to cover the cost of health supports from a provider who is qualified as an Enrolled Nurse. (An enrolled nurse is a professional who has completed, at minimum, their diploma qualification.) These services are delivered on a Saturday.",Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system
01_603_0114_1_1,"Funding to cover the cost of health supports from a provider who is qualified as an Enrolled Nurse. (An enrolled nurse is a professional who has completed, at minimum, their diploma qualification.) These services are delivered on a Sunday.",Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system
01_604_0114_1_1,"Funding to cover the cost of health supports from a provider who is qualified as an Enrolled Nurse. (An enrolled nurse is a professional who has completed, at minimum, their diploma qualification.) These services are delivered during a Public Holiday.",Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system
01_605_0114_1_1,"Funding to cover the cost of health supports from a provider who is qualified as an Enrolled Nurse (An enrolled nurse is a professional who has completed, at minimum, their diploma qualification) This service must involve the provider spending these hours awake and providing active care through the night.",Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system
01_606_0114_1_1,"Funding to cover the cost of health supports from a provider who is qualified as a Registered Nurse. ( Registered nurse is a person who has completed the prescribed education preparation, demonstrates competence to practise and is registered under the Health Practitioner Regulation National Law as a registered nurse in Australia.) These services are delivered Monday to Friday and between the hours of 07:30 am and 12:00 pm",Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system
